league_id,season,owner_user_id,owner_display,team_name,roster_id,slot_type,slot_label,player_id,player,pos,nfl_team,age,status,years_exp
1180272148495294464,2025,459133349898743808,koloj,Chalupa Batman,12,BENCH,BENCH,11559,Michael Penix,QB,ATL,25.0,Active,1.0
1180272148495294464,2025,459133349898743808,koloj,Chalupa Batman,12,STARTER,QB,11563,Bo Nix,QB,DEN,25.0,Active,1.0
1180272148495294464,2025,459133349898743808,koloj,Chalupa Batman,12,STARTER,RB,8150,Kyren Williams,RB,LAR,24.0,Active,3.0
1180272148495294464,2025,459133349898743808,koloj,Chalupa Batman,12,STARTER,TE,6826,Cole Kmet,TE,CHI,26.0,Active,5.0
1180272148495294464,2025,459133349898743808,koloj,Chalupa Batman,12,STARTER,WR,4037,Chris Godwin,WR,TB,29.0,Active,8.0
1180272148495294464,2025,459133349898743808,koloj,Chalupa Batman,12,STARTER,FLEX,10232,Michael Wilson,WR,ARI,25.0,Active,2.0
1180272148495294464,2025,459133349898743808,koloj,Chalupa Batman,12,STARTER,WR,2449,Stefon Diggs,WR,NE,31.0,Active,10.0
1180272148495294464,2025,459133349898743808,koloj,Chalupa Batman,12,STARTER,WR,3321,Tyreek Hill,WR,MIA,31.0,Active,9.0
1180272148495294464,2025,459133349898743808,koloj,Chalupa Batman,12,STARTER,FLEX,0,,,,,,
1180272148495294464,2025,459133349898743808,koloj,Chalupa Batman,12,TAXI,TAXI,12498,Mason Taylor,TE,NYJ,21.0,Active,0.0
1180272148495294464,2025,459133349898743808,koloj,Chalupa Batman,12,TAXI,TAXI,12487,Terrance Ferguson,TE,LAR,22.0,Active,0.0
1180272148495294464,2025,792870863715274752,jpbreaks,JPBreaks,7,BENCH,BENCH,4881,Lamar Jackson,QB,BAL,28.0,Active,7.0
1180272148495294464,2025,792870863715274752,jpbreaks,JPBreaks,7,BENCH,BENCH,3198,Derrick Henry,RB,BAL,31.0,Active,9.0
1180272148495294464,2025,792870863715274752,jpbreaks,JPBreaks,7,BENCH,BENCH,2749,Raheem Mostert,RB,LV,33.0,Active,10.0
1180272148495294464,2025,792870863715274752,jpbreaks,JPBreaks,7,BENCH,BENCH,7611,Rhamondre Stevenson,RB,NE,27.0,Active,4.0
1180272148495294464,2025,792870863715274752,jpbreaks,JPBreaks,7,BENCH,BENCH,5857,Noah Fant,TE,CIN,27.0,Active,6.0
1180272148495294464,2025,792870863715274752,jpbreaks,JPBreaks,7,BENCH,BENCH,12501,Matthew Golden,WR,GB,22.0,Active,0.0
